"","x"
"651","法式起司吐司"
"652","法式鮪魚吐司"
"653","法式燒肉吐司"
"654","法式蜂蜜吐司"
"655","法式燻雞吐司"
"656","法式肉鬆吐司"
"657","蜜雙醬吐司"
"658","起司嫩蛋吐司"
"659","鮪魚嫩蛋吐司"
"660","日式燒肉吐司"
"661","藍莓起士吐司"
"662","肉鬆嫩蛋吐司"
"663","養生麥茶"
"664","凍頂烏龍茶"
"665","台灣四季青"
"666","玉韻釀紅茶"
"667","松柏嶺綠茶"
"668","斑蘭珍珠綠"
"669","芙蓉仙凍綠"
"670","蜂蜜喚烏龍"
"671","鳳梨喚青茶"
"672","多桑沙"
"673","朱古力沙"
"674","蘭香檸檬"
"675","野莓歸綠"
"676","蘋果醋"
"677","寒檸檬綠"
"678","初戀知檸檬"
"679","金桔念檸檬"
"680","蜂蜜念檸檬"
"681","斑蘭念檸檬"
"682","五寶鮮果飲"
"683","柚柚蜂蜜青"
"684","鮮橙金桔綠"
"685","百香鮮橙綠"
"686","綠茶喚多多"
"687","柚柚喚多多"
"688","檸檬喚多多"
"689","鮮橙喚多多"
"690","蘭香玉露青"
"691","柴燒冬瓜茶"
"692","柴燒冬瓜青"
"693","冬瓜找檸檬"
"694","斑蘭找冬檸"
"695","百花蜂蜜茶"
"696","桑心洛神茶"
"697","芋香奶露"
"698","芋香珍珠奶露"
"699","舉頭望明月"
"700","小笠原抹茶鮮奶"
"701","冬瓜念鮮奶"
"702","芙蓉奶茶"
"703","舊識"
"704","阿華愛"
"705","桑心洛神奶"
"706","芙蓉仙凍奶茶"
"707","黑珍珠奶茶"
"708","奶綠"
"709","陸空餐"
"710","海陸餐"
"711","陸海空餐"
"712","滷雞腳"
"713","滷牛腱"
"714","紹興醉蝦"
"715","原味泡芙"
"716","巧克力泡芙"
"717","咖啡泡芙"
"718","芝麻泡芙"
"719","藍莓雙餡泡芙"
"720","草莓雙餡泡芙"
"721","覆盆子雙餡泡芙"
"722","鳳梨雙餡泡芙"
"723","招牌雞腿"
"724","招牌排骨飯"
"725","招牌控肉飯"
"726","滷排骨飯"
"727","滷雞腿飯"
"728","魚排飯時魚"
"729","蔥爆豬肉片飯"
"730","黑胡椒豬肉片飯"
"731","三杯雞丁飯"
"732","每日特餐"
"733","肉絲炒飯"
"734","肉絲炒麵"
"735","素炒飯"
"736","素炒麵"
"737","炒時蔬"
"738","回鍋肉"
"739","紅燒豆腐"
"740","麻婆豆腐"
"741","魚香茄子"
"742","辣子雞丁"
"743","炒山豬肉"
"744","蕃茄炒蛋"
"745","蔥花烘蛋"
"746","菜圃烘蛋"
"747","豆干肉絲"
"748","蔥爆"
"749","青椒"
"750","香根"
"751","茄香肥腸"
"752","客家小炒"
"753","脆皮肥腸"
"754","蒜香肥腸"
"755","蒜泥蒸蝦"
"756","豆瓣吳郭魚"
"757","紅燒吳郭魚"
"758","四寶湯"
"759","蛤蜊湯"
"760","肚片湯"
"761","小火鍋"
"762","砂鍋魚頭"
"763","魷魚螺肉蒜"
"764","肉醬義大利麵牛肉"
"765","義式臘腸蘑菇麵"
"766","辣味培根蘑菇義大利麵"
"767","辣味雞肉蕃茄麵"
"768","白酒蛤蠣蕃茄麵"
"769","海鮮蕃茄麵"
"770","蕃茄蟳味鮪魚義大利麵"
"771","嫩雞鮮蔬蕃茄麵"
"772","牛肉丸蕃茄義大利麵"
"773","煙燻鮭魚奶油麵"
"774","蒜味奶油雞肉麵"
"775","培根奶油蛋汁麵"
"776","奶油培根蘑菇麵"
"777","海鮮奶油麵"
"778","青蔬雞肉奶油麵"
"779","蘑菇雞肉青醬奶油麵"
"780","青醬蛤蠣義大利麵"
"781","香蒜辣味雞肉麵"
"782","香蒜白酒蛤蠣麵"
"783","香蒜辣味雞肉義大利麵"
"784","香蒜海鮮義大利麵"
"785","櫻桃鴨胸義大利麵"
"786","菠菜雞丁燉飯"
"787","煙燻鮭魚蘆筍奶油燉飯"
