,0
72,巧克力雪淇冰
73,草莓雪淇冰
74,鳳梨雪淇冰
75,烏梅雪淇冰
76,椰果雪淇冰
77,百香果雪淇冰
78,雪淇清冰
79,雪淇牛奶冰
80,獨家冰淇淋
81,酸梅冰
82,酸梅加珍珠
83,酸梅加椰果
84,梅子綠
85,酸梅加冰淇淋
86,綠豆沙加冰淇淋
87,招牌綠豆沙
88,綠豆沙鮮奶
89,珍奶綠豆沙
90,綠豆沙椰果
91,紅茶冰
92,紅茶加冰淇淋
93,紅茶加綠茶
94,紅茶加椰果
95,奶茶冰
96,珍珠奶茶
97,綠茶冰
98,綠茶加冰淇淋
99,冰奶綠
100,綠茶加椰果
101,檸檬綠茶
102,檸檬冰
103,檸檬冰加冰淇淋
104,檸檬紅茶
105,檸檬酸梅
106,檸檬百香
107,檸檬椰果
108,百香果冰
109,百香果加冰淇淋
110,百香酸梅
111,百香果冰加椰果
112,冰咖啡牛奶
113,麥茶冰
0,蛋炒飯
1,肉絲蛋炒飯
2,火腿蛋炒飯
3,蝦仁蛋炒飯
4,麻油肉絲飯
5,麻油雞飯
6,什錦炒麵
7,什錦炒意麵
8,什錦炒烏龍麵
9,沙茶豬肉炒麵
10,沙茶牛肉炒麵
11,三杯豬肉炒麵
12,三杯雞肉炒麵
13,貢丸湯
14,魚丸湯
15,蛤仔湯
16,紫菜蛋花湯
17,什錦燴飯
18,沙茶豬肉燴飯
19,沙茶雞肉燴飯
20,沙茶牛肉燴飯
21,三杯豬肉燴飯
22,三杯雞肉燴飯
23,蔥爆豬肉飯
24,蔥爆牛肉飯
25,蔥爆雞肉飯
26,黑胡椒豬肉飯
27,黑胡椒牛肉飯
28,黑胡椒雞肉飯
29,原味鍋燒意麵
30,原味鍋燒冬粉
31,原味鍋燒泡飯
32,原味鍋燒烏龍麵
33,今天不訂
34,菜單
0,招牌鍋貼
1,韭菜鍋貼
2,韓式辣味鍋貼
3,咖哩鍋貼
4,田園蔬菜鍋貼
5,玉米鍋貼
6,韭黃魚肉鍋貼
7,招牌水餃
8,韭菜水餃
9,韓式辣味水餃
10,咖哩水餃
11,田園蔬菜水餃
12,玉米水餃
13,韭黃魚肉水餃
14,鮮蝦水餃
15,鮮蝦魚肉水餃
16,酸辣湯餃(八顆)
17,玉米湯餃(八顆)
18,酸辣湯
19,玉米濃湯
20,旗魚花枝丸湯
21,蕈菇湯
22,蘿蔔排骨湯
23,珍珠餛飩湯
24,菜肉大餛飩湯
25,古早味乾麵
26,特調乾麵(微辣)
27,麻醬乾麵
28,醡醬乾麵
29,古早味湯麵
30,榨菜肉絲麵
31,酸辣湯麵
32,珍珠餛飩麵
33,菜肉大餛飩麵
34,紹辣珍珠餛飩麵
35,紹辣菜肉餛飩麵
36,滷蛋
37,黃金豆腐
38,燙青菜
39,燉蘿蔔
40,家常小菜
41,珍珠抄手(小粒八顆)
42,菜肉大抄手(大粒六顆)
43,白豆漿
44,無糖白豆漿
45,黑豆漿
46,真傳紅茶
47,寒天真傳紅茶
48,寒天薏仁豆漿
0,菜單圖
1,★阿里山冰茶
2,★高山四季春
3,文山清茶
4,茉莉綠茶
5,日式玄米綠茶
6,靜岡玉露
7,錫蘭紅茶
8,阿薩姆紅茶
9,皇家伯爵紅茶
10,凍頂烏龍茶
11,鐵觀音烏龍
12,日式烏龍烤茶
13,★大島茶花綠茶
14,金萱冰茶
15,小葉紅茶
16,錫蘭奶茶
17,阿薩姆奶茶
18,皇家伯爵奶茶
19,晨露奶綠
20,★鐵觀音烏龍奶茶
21,手作珍珠奶茶
22,★黑白雙拼珍珠奶茶
23,手做珍珠奶茶
24,紅豆奶茶
25,統一布丁奶茶
26,日式烏龍烤奶
27,紅豆烤奶
28,沖繩黑糖奶茶
29,◎金桔粒
30,◎柚桔粒
31,蜂蜜檸檬
32,◎蜂蜜蘆薈
33,檸檬汁
34,鮮桔檸檬汁
35,百香檸檬汁
36,◎蘋果醋冰茶
37,紅茶鮮奶拿鐵
38,綠茶鮮奶拿鐵
