,0
28,黑胡椒豬柳飯
29,醉雞飯
30,閃亮雙主菜
31,排骨+鯛魚飯
32,海陸特餐
33,素食A餐
34,素食B餐
35,煙燻招牌飯
36,煙熏雞翅+烤肉
37,煙燻雞腿飯
0,鼎新醬油膏(500±10c.c)
1,缺貨中-鼎新陳年醬油(520±10c.c)
2,鼎新甘醇醬油(500±10c.c)
3,鼎新雙子星經濟包醬油禮盒(甘醇1油膏1)
4,鼎新原汁醬油禮盒(原汁醬油500㏄/瓶×6)
5,鼎新綜合包醬油禮盒(原汁醬油500㏄/瓶×2/原汁甘醇醬油500㏄/瓶×2/醬油膏500㏄/瓶×2)
6,缺貨中-鼎新甘醇醬油禮盒(甘醇醬油500㏄/瓶×6)
0,涮豬肉丼飯
1,雞塊丼飯
2,雞丁丼飯
3,雞排丼飯
4,豬排丼飯
5,魚排丼飯
6,牛肉丼飯
7,豬肉丼飯
8,鹹豬肉飯
9,香腸飯
10,無骨雞排飯
11,炸棒腿飯
12,柳葉魚飯
13,滷雞排飯
14,滷雞腿飯
15,炸排骨飯
16,滷排骨飯
17,大雞腿飯
18,鱈魚飯
19,大雞排飯
20,牛丼便當
21,咖哩雞塊飯
22,咖哩雞丁飯
23,咖哩雞排飯
24,咖哩豬排飯
25,咖哩魚排飯
26,咖哩涮牛飯
27,咖哩涮豬飯
28,牛肉壽喜鍋
29,豬肉壽喜鍋
30,川味麻辣鍋
31,海鮮豆腐鍋
32,韓式泡菜鍋
33,咖哩風味鍋
34,招牌烤排骨飯
35,泰式烤排骨飯
36,日式烤雞腿飯
37,泰式烤雞腿飯
38,烤牛五花肉飯
39,泡菜炒牛肉飯
40,打拋烤肉豬飯
41,熱炒三杯雞飯
42,黑胡椒牛柳飯
43,浦燒秋刀魚飯
0,香雞排
1,無骨鹽酥雞
2,魷魚圈
3,四季豆
4,雞屁股
5,青椒
6,玉米
7,梅甘薯條
8,甜不辣
9,花椰菜
10,高麗菜
11,花枝丸
12,蝦捲
13,雞心
14,百頁豆腐
15,米腸
16,雞皮
17,豆干
18,米血
19,芋頭糕
20,芋巧
21,馬鈴薯薯條
22,杏鮑菇
23,蘿蔔糕
24,豆皮
0,午餐
0,茉莉綠茶
1,大正紅茶
2,英倫伯爵紅茶
3,青採翠玉
4,初露青茶
5,高峰烏龍綠
6,決明大麥
7,伯爵紅茶拿鐵
8,珍珠紅茶拿鐵
9,綠茶拿鐵
10,布丁紅茶拿鐵
11,烏龍拿鐵
12,仙草凍紅茶拿鐵
13,青茶拿鐵
14,紅豆紅茶拿鐵
15,麥茶拿鐵
16,大正紅茶拿鐵
17,珍珠鮮奶
18,出雲抹茶鮮奶
19,手炒黑糖鮮奶
20,冬瓜鮮奶
21,大甲芋頭鮮奶
22,布丁鮮奶
23,草莓鮮奶
24,仙草凍鮮奶
25,可可亞鮮奶
26,紅豆鮮奶
27,芝麻鮮奶
28,紅豆芝麻鮮奶
29,原鄉冬瓜茶
30,香柚綠茶
31,冰翠檸檬
32,冬瓜青茶
33,青檸香茶
34,蜂農花蜜茶
35,冬瓜檸檬
36,阿文鮮梅綠
37,冰糖洛神梅
38,金吉檸檬
39,養樂多綠
40,甘蔗青茶
41,蔓莓雙果醋
42,大正紅茶鮮豆奶
43,珍珠紅茶鮮豆奶
44,綠茶鮮豆奶
45,布丁紅茶鮮豆奶
46,烏龍茶鮮豆奶
47,鮮草凍紅茶鮮豆奶
48,青茶鮮豆奶
49,紅豆紅茶鮮豆奶
50,麥茶鮮豆奶
51,伯爵鮮豆奶
52,出雲抹茶鮮豆奶
53,冬瓜鮮豆奶
54,布丁鮮豆奶
55,鹿谷黃金烏龍
56,小山迎露
57,香茅柚茶
58,香茅綠茶
0,咖哩飯(辣)
1,咖哩飯(不辣)
2,滷肉飯(小)
3,滷肉飯(大)
4,海鮮白油麵
5,海鮮烏龍麵
6,海鮮米粉
7,海鮮意麵
8,海鮮雞絲麵
9,海鮮冬粉
10,豬肝麵(面可選)
11,蛋麵
12,乾麵
13,豬肝湯
14,貢丸湯
15,蛋花湯
16,豬肉煎包
17,韭菜煎包
18,高麗菜煎包
19,豆漿
20,奶茶
21,紅茶
22,小菜
23,滷蛋
0,珍珠奶茶
0,珍珠奶茶
1,jimmy
2,真真
0,排骨飯
1,控肉飯
2,香酥雞丁飯
3,打拋豬肉蓋飯
4,麻婆豆腐蓋飯
0,雞腿飯
1,排骨飯
2,咖哩排骨飯
3,肉羹排骨飯
4,雞排飯
5,花枝排飯
6,魯肉雞腿飯
7,魯肉雞排飯
8,魯肉排飯
9,魯肉花枝飯
10,咖哩飯
11,肉羹飯
12,菜飯
13,高麗菜飯
14,肉羹湯
0,素菜炒刀削麵
1,木須肉炒刀削麵
2,牛肉炒刀削麵
3,炸醬刀削麵
4,大滷刀削麵
5,酸辣湯刀削麵
6,牛肉刀削麵
7,牛肉湯刀削麵
8,榨菜肉絲刀削麵
9,素菜蛋炒飯
10,茄汁蛋炒飯
11,肉絲蛋炒飯
12,蝦仁蛋炒飯
13,牛肉蛋炒飯
14,青椒牛肉炒飯
15,青椒牛肉燴飯
16,牛肉燴飯
17,三鮮燴飯
18,咖哩三鮮燴飯
19,雞絲拉皮
20,小米粥
21,荷葉餅
22,蔥油餅
23,豆沙鍋餅
24,花素蒸餃
25,小籠湯包
26,單餅饊子
27,大餅捲豬肉
28,大餅捲牛肉
29,蛤蠣湯
30,三鮮湯
31,酸辣湯
32,牛肉湯
33,玉米濃湯
34,酸菜肚片湯
35,青菜豆腐湯
0,古早味排骨飯包
1,正宗池上飯包
2,瓜仔肉飯包
3,蒲燒秋刀魚飯包
4,薄鹽鯖魚飯包
5,香焰烤雞飯包
6,悟饕排骨飯包
7,黃金排骨飯包
8,控肉飯包
9,養生飯包
10,蒲燒鯛魚飯包
11,飄香滷雞腿飯包
12,鐵路懷舊飯包
13,醬燒豚肉飯包
14,山賊烤雞腿飯包
15,椒麻雞腿飯包
16,雞腿飯包
17,海陸雙拼飯包
18,無骨雞排飯包
19,脆皮燒肉飯包
20,檸檬雞腿飯包
21,柳葉魚飯包
22,滷雞腿飯包(方盒)
23,府城蝦捲飯包
24,懷舊排骨飯包(方盒)
25,大雞排飯包
0,懷舊鐵路排骨飯
1,私房酥炸雞腿飯
2,麻婆豆腐燴豬排
3,日式-照燒豬排
4,日式-廣島燒雞排
5,日式-鯖魚一夜干飯
6,義式-迷迭香草腿排
7,美式-火烤豬肉
8,韓式-燒烤豬肉
9,泰式-椒麻雞腿
0,柴魚昆布
1,豚骨白湯
2,札幌味增
3,山藥牛奶
4,金香南瓜
5,雞香白湯
6,韓式泡菜
7,川香麻辣
8,日式和風咖哩拌麵
9,韓式泡菜炒烏龍
10,蕈菇素麵
11,冷麵
12,小菜
13,飲料
14,健康果醋(杯)
15,可爾必思(杯)
16,特製辣椒醬
0,招牌石頭鍋
1,韓式泡菜鍋
2,日式壽喜鍋
3,海鮮豆腐鍋
4,韓國部隊鍋
5,起司牛奶鍋
6,東北酸菜鍋
7,大漠蒙古鍋
8,巴蜀麻辣鍋
9,干貝海鮮鍋
10,檸檬香茅鍋
11,南瓜奶蓋鍋
12,麻油雞鍋
13,義式番茄鍋
14,素食鍋
15,素食牛奶鍋
16,素食咖哩鍋
0,香酥雞排飯便當
1,酥炸排骨飯便當
2,香嫩滷排飯便當
3,酒糟叉燒飯便當
4,東坡控肉飯便當
5,酥炸雞腿飯便當
6,辣味雞丁蓋飯
7,酥炸豬排蓋飯
8,香酥雞排蓋飯
9,蔥燒牛肉蓋飯
10,香料海鮮蓋飯
11,黃金炸蝦蓋飯
0,原味蔥油餅
1,原味蔥油餅+蛋
2,九層塔蛋蔥油餅
3,起司蛋蔥油餅
4,青菜蛋蔥油餅
5,玉米蛋蔥油餅
6,火腿蛋蔥油餅
7,培根蛋蔥油餅
8,肉鬆蛋蔥油餅
9,燻雞蛋蔥油餅
10,德式香腸蛋蔥油餅
11,黑胡椒豬排蛋蔥油餅
12,黑胡椒牛排蛋蔥油餅
13,起司玉米蛋蔥油餅
14,培根起司蛋蔥油餅
15,豬排起司蛋蔥油餅
16,青菜燻雞蛋蔥油餅
17,燻雞起司蛋蔥油餅
18,青菜豬排蛋蔥油餅
0,茉莉綠茶
1,阿薩姆紅茶
2,凍頂烏龍茶
3,文山清茶
4,四季春茶
5,檸檬綠
6,檸檬青
7,梅果綠
8,＊蜂蜜綠
9,桔子綠
10,＊養樂多綠
11,＊鮮柚綠
12,檸檬汁
13,金桔檸檬
14,＊檸檬蜜
15,檸檬梅子
16,＊檸檬養樂多
17,＊葡萄柚汁
18,＊百香多多
19,＊皇家百香綠
20,鮮桔茶
21,＊蜜茶
22,奶茶
23,奶綠
24,紅茶瑪奇朵
25,綠茶瑪奇朵
26,青茶瑪奇朵
27,焦糖奶茶
28,阿華田
29,可可芭蕾
30,波霸紅
31,波霸綠
32,波霸青
33,波霸烏龍
34,波霸奶茶
35,波霸奶茶
36,波霸紅茶拿鐵
37,珍珠紅
38,珍珠綠
39,珍珠青
40,珍珠烏龍
41,珍珠奶茶
42,珍珠奶綠
43,珍珠紅茶拿鐵
44,椰果奶茶
45,布丁奶茶
46,＊仙草奶凍
47,＊仙草紅茶拿鐵
48,＊愛玉綠茶
49,＊愛玉冰茶
50,＊冰咖啡
51,＊漂浮冰咖啡
52,紅茶拿鐵(鮮奶茶)
53,焦糖紅茶拿鐵
54,阿華田拿鐵
55,可可芭蕾拿鐵
56,＊冰淇淋紅茶
57,＊冰淇淋青茶
58,＊冰淇淋奶茶
59,＊芒果青茶
0,冰豆漿
1,溫豆漿
2,熱豆漿
3,冰米漿
4,熱米漿
5,鹹豆漿
6,豆漿加蛋
7,米漿加蛋
8,冰豆米漿
9,溫豆米漿
10,熱豆米漿
11,小龍湯包
12,飯糰
13,飯糰加蛋
14,飯糰加肉
15,飯糰蛋肉
16,蛋餅
17,蛋餅加肉
18,蛋餅肉鬆
19,蛋餅油條
20,油條
21,燒餅
22,燒餅油條
23,燒餅加蛋
24,燒餅加肉
25,燒餅蛋肉
26,燒餅沙拉
27,燒餅沙拉加肉
28,蘿菠糕
29,蘿菠糕加蛋
30,蔥花蛋
31,荷包蛋
32,煎餃每粒
33,鐵板肉
0,愛文芒果乾 150克/包
1,大湖草苺乾 150克/包
2,關廟土風梨乾 150克/包
3,牛奶芭樂乾 150克/包
4,糖漬香橙片 100克/包
5,香水檸檬乾 100克/包
6,紅心芭樂乾 150克/包
7,萊姆乾 150克/包
8,台灣蕃茄乾 150克/包
9,情人果乾 150克/包
10,芭蕉乾 (無糖) 110克/包
11,香蕉乾 (無糖) 110克/包
12,鳳梨花乾(無糖) 約10片/包
13,木瓜乾(無糖) 70克/包
14,李子乾(無糖) 100克/包
15,蘋果片(無糖) 80克/包
16,楊桃乾(無糖) 80克/包
17,火龍果乾(無糖) 80克/包
18,哈蜜瓜乾(無糖) 80克/包
19,西瓜乾(無糖) 80克/包
20,柿子乾(無糖) 100克/包
21,愛文芒果乾(無糖)120克/包
0,蔥油餅(不辣)
1,蔥油餘(辣)
0,脆皮燒鴨販
1,玫瑰油雞飯
2,蜜汁叉燒飯
3,蜜汁香腸飯
4,脆皮燒肉飯
5,燒鴨油雞販
6,燒鴨叉燒飯
7,燒鴨香腸飯
8,燒鴨燒肉飯
9,油雞叉燒飯
10,油雞燒肉飯
11,油雞香腸飯
12,叉燒香腸飯
13,燒肉叉燒飯
14,燒肉香腸飯
15,香酥魚排飯
16,薄鹽鯖魚飯
17,酥炸排骨飯
18,酥炸雞排飯
19,酥炸雞腿飯
20,廣東臘味飯
21,珍味蝦捲飯
22,金牌三寶飯
23,玫瑰油雞腿飯
24,蜜汁燒雞腿飯
25,明爐鴨腿飯
26,至尊招牌飯
27,御膳五寶飯
0,可參考網友推薦品項
1,高麗菜水餃
2,韭菜水餃
3,酸辣湯餃(高麗菜)
4,酸辣湯餃(韭菜)
5,牛肉湯餃(高麗菜)
6,牛肉湯餃(韭菜)
7,榨菜肉絲湯餃(高麗菜)
8,榨菜肉絲湯餃(韭菜)
9,牛肉 麵
10,牛肉湯 麵
11,牛肉 粄條
12,牛肉湯 粄條
13,牛肉 細粉
14,牛肉湯 細粉
15,酸辣湯麵
16,餛飩麵
17,榨菜肉絲麵
18,麻醬麵
19,肉燥乾麵
20,酢醬乾麵
21,什錦海鮮湯麵
22,陽春麵
23,湯粄條
24,乾粄條
25,海鮮炒麵
26,肉絲炒麵
27,牛肉炒麵
28,魯肉飯加蛋
29,魯肉飯
30,雞絲飯加蛋
31,雞絲飯
32,蝦仁炒飯
33,肉絲炒飯
34,牛肉炒飯
35,海線燴飯
36,牛肉燴飯
37,海鮮滑蛋泡飯
38,紅油抄手
39,酸辣湯
40,牛肉湯
41,蛋花湯
42,豬肝湯
43,蛤蜊湯
44,餛飩湯
45,貢丸湯
46,榨菜肉絲湯
47,魚羹湯
48,燙A菜
49,炒A菜 大
50,燙空心菜
51,炒空心菜 大
0,紅酒桂圓核桃
1,全麥堅果
2,黑金芝麻乳酪
3,亞麻子蔓越莓
4,酒釀高纖葡萄
5,芭娜娜核果
6,黑眼豆豆
7,豆香維也納
8,白吐司(薄片)
9,北港黑麻油雞
10,主廚秘製羊肉爐
11,優惠組合(麻油雞+羊肉爐)
0,髒髒包
